X,Y,crime_id,report_number,address,offense_description,offense_category,state_offense_code,arrest_charge,charge_description,incident_timestamp,incident_time,day_of_week,hour_of_day,year,scout_car_area,precinct,block_id,neighborhood,council_district,zip_code,longitude,latitude,ibr_date,oid
-83.20280009,42.39818877,3556372,2010120245,Prevost St & Hackett St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/10 11:00:00+00,0.291666667,6,7,2020,814,8,2.61635E+14,Grand River-St Marys,1,48227,-83.20280009,42.39818877,2021/02/01 18:10:32+00,528619
-83.19509813,42.40343173,3556414,2010120285,Sussex St & Keeler St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/10 06:00:00+00,0.083333333,6,2,2020,201,2,2.61635E+14,Belmont,1,48227,-83.19509813,42.40343173,2020/10/14 10:26:46+00,528621
-83.02106266,42.43403781,3556447,2010120315,E 7 Mile Rd & Veach St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/12 01:00:00+00,0.875,7,21,2020,1105,11,2.61635E+14,Nortown,3,48234,-83.02106266,42.43403781,2020/10/15 14:18:29+00,528625
-82.97533794,42.41124329,3556531,2010130021,Wilshire Dr & Coplin St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/12 23:00:00+00,0.791666667,1,19,2020,910,9,2.61635E+14,Outer Drive-Hayes,4,48213,-82.97533794,42.41124329,2020/10/14 10:26:46+00,528637
-83.2383829,42.39787941,3556592,2010130076,W Outer Dr & Vaughan St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/13 09:00:00+00,0.208333333,2,5,2020,602,6,2.61635E+14,Brightmoor,1,48223,-83.2383829,42.39787941,2020/10/14 12:33:10+00,528651
-83.23302722,42.41947892,3556617,2010130102,Santa Clara Ave & Huntington Rd,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/13 08:50:00+00,0.201388889,2,4,2020,807,8,2.61635E+14,Evergreen-Outer Drive,1,48219,-83.23302722,42.41947892,2020/10/16 12:39:00+00,528655
-83.21323133,42.38677404,3556632,2010130120,Schoolcraft St & Rutland St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/12 00:30:00+00,0.854166667,7,20,2020,814,8,2.61635E+14,Grandmont,1,48227,-83.21323133,42.38677404,2020/10/15 14:18:29+00,528657
-83.19736858,42.36785669,3556685,2010130185,Greenfield Rd & Orangelawn St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/08/26 01:00:00+00,0.875,2,21,2020,207,2,2.61635E+14,Plymouth-Hubbell,7,48227,-83.19736858,42.36785668,2020/10/16 12:39:00+00,528670
-82.93327713,42.41836686,3556846,2010130350,Woodhall St & Harper Ave,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/12 18:00:00+00,0.583333333,1,14,2020,505,5,2.61635E+14,Cornerstone Village,4,48224,-82.93327713,42.41836686,2020/10/14 13:54:35+00,528689
-83.25350656,42.40757296,3556971,2010140041,Chapel St & Puritan St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/14 10:50:00+00,0.284722222,3,6,2020,810,8,2.61635E+14,Miller Grove,1,48219,-83.25350656,42.40757296,2020/10/14 13:54:35+00,528714
-83.14786459,42.40983878,3557062,2010140140,Tuller Ave & Puritan St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/12 14:30:00+00,0.4375,1,10,2020,1211,12,2.61635E+14,Fitzgerald/Marygrove,2,48221,-83.14786459,42.40983878,2020/10/19 17:06:26+00,528724
-83.1059556,42.37978839,3557250,2010140341,14th St & W Boston Blvd,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/13 09:00:00+00,0.208333333,2,5,2020,1005,10,2.61635E+14,Boston Edison,5,48206,-83.1059556,42.37978839,2020/10/15 14:18:29+00,528753
-83.0811645,42.3875548,3557368,2010150047,Arden Park Blvd & John R St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/15 08:00:00+00,0.166666667,4,4,2020,301,3,2.61635E+14,Arden Park,5,48202,-83.0811645,42.38755479,2020/10/15 14:18:29+00,528780
-83.03074635,42.33889392,3557451,2010150121,E Lafayette St & Orleans St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/14 02:00:00+00,0.916666667,2,22,2020,709,7,2.61635E+14,Lafayette Park,5,48207,-83.03074634,42.33889392,2020/12/14 19:01:23+00,528790
-83.18522331,42.39464409,3557469,2010150144,Freeland St & Lyndon St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/15 11:00:00+00,0.291666667,4,7,2020,202,2,2.61635E+14,Bethune Community,1,48227,-83.18522331,42.39464409,2020/10/19 17:06:26+00,528794
-83.13067166,42.39581248,3557491,2010150160,Wildemere St & Kendall St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/02 00:00:00+00,0.833333333,4,20,2020,1003,10,2.61635E+14,Oakman Blvd Community,2,48238,-83.13067166,42.39581248,2020/10/19 17:06:26+00,528797
-83.26552334,42.40025209,3557510,2010150179,Beaverland St & Fenkell St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/11 03:00:00+00,0.958333333,6,23,2020,601,6,2.61635E+14,Brightmoor,1,48223,-83.26552334,42.40025209,2020/10/16 12:39:00+00,528801
-83.09343638,42.32874979,3557541,2010150215,W Grand Blvd & Risdon St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/15 20:00:00+00,0.666666667,4,16,2020,410,4,2.61635E+14,Central Southwest,6,48216,-83.09343638,42.32874979,2020/10/16 12:39:00+00,528803
